,irrad
1258,57500.0
1259,64800.0
1260,65800.0
1261,60300.0
1262,49500.0
1263,28800.0
1264,13500.0
1265,1100.0
1266,0.0
1267,0.0
1268,0.0
1269,0.0
1270,0.0
1271,0.0
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,500.0
1279,8900.0
1280,17500.0
1281,29600.0
1282,32400.0
1283,33700.0
1284,28600.0
1285,25400.0
1286,28800.0
1287,14300.0
1288,4000.0
1289,700.0
1290,0.0
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,600.0
1303,13000.0
1304,30900.0
1305,48800.0
1306,60800.0
1307,67400.0
1308,67900.0
1309,62300.0
1310,50700.0
1311,33900.0
1312,15700.0
1313,1800.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,1000.0
1327,13000.0
1328,31200.0
1329,48000.0
1330,59700.0
1331,66500.0
1332,67500.0
1333,61800.0
1334,50600.0
1335,34600.0
1336,16000.0
1337,1800.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,1100.0
1351,12300.0
1352,33500.0
1353,48100.0
1354,50200.0
1355,53800.0
1356,57900.0
1357,55600.0
1358,47100.0
1359,27500.0
1360,10400.0
1361,1800.0
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,0.0
1370,0.0
1371,0.0
1372,0.0
1373,0.0
1374,900.0
1375,11900.0
1376,27200.0
1377,24700.0
1378,32200.0
1379,43900.0
1380,64800.0
1381,27900.0
1382,23600.0
1383,9600.0
1384,3600.0
1385,400.0
1386,0.0
1387,0.0
1388,0.0
1389,0.0
1390,0.0
1391,0.0
1392,0.0
1393,0.0
1394,0.0
1395,0.0
1396,0.0
1397,0.0
1398,500.0
1399,8900.0
1400,16900.0
1401,29200.0
1402,31300.0
1403,44300.0
1404,18400.0
1405,3700.0
1406,14100.0
1407,6300.0
1408,2100.0
1409,500.0
1410,0.0
1411,0.0
1412,0.0
1413,0.0
1414,0.0
1415,0.0
1416,0.0
1417,0.0
1418,0.0
1419,0.0
1420,0.0
1421,0.0
1422,600.0
1423,4700.0
1424,14100.0
1425,29500.0
1426,37700.0
1427,73500.0
1428,53900.0
1429,60500.0
1430,46500.0
1431,34700.0
1432,14200.0
1433,2100.0
1434,0.0
1435,0.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,0.0
1441,0.0
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,800.0
1447,13000.0
1448,33500.0
1449,34900.0
1450,34700.0
1451,59200.0
1452,37300.0
1453,43300.0
1454,30000.0
1455,38100.0
1456,20500.0
1457,3600.0
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.0
1468,0.0
1469,0.0
1470,4100.0
1471,27200.0
1472,52100.0
1473,67300.0
1474,68500.0
1475,68900.0
1476,74000.0
1477,66000.0
1478,54300.0
1479,39200.0
1480,19600.0
1481,3400.0
1482,0.0
1483,0.0
1484,0.0
1485,0.0
1486,0.0
1487,0.0
1488,0.0
1489,0.0
1490,0.0
1491,0.0
1492,0.0
1493,0.0
1494,4700.0
1495,28600.0
1496,51600.0
1497,65500.0
1498,67600.0
1499,71800.0
1500,72600.0
1501,66700.0
1502,52700.0
1503,24600.0
1504,10400.0
1505,2100.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,300.0
1519,4600.0
1520,12200.0
1521,17700.0
1522,28300.0
1523,11700.0
1524,4200.0
1525,6500.0
1526,5700.0
1527,6700.0
1528,4400.0
1529,1600.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,900.0
1543,3600.0
1544,5900.0
1545,12400.0
1546,9200.0
1547,14700.0
1548,30600.0
1549,25100.0
1550,19000.0
1551,15000.0
1552,14400.0
1553,5200.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,1200.0
1567,4300.0
1568,5500.0
1569,9400.0
1570,7100.0
1571,10900.0
1572,17200.0
1573,21400.0
1574,15300.0
1575,12100.0
1576,5000.0
1577,3500.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,1600.0
1591,11100.0
1592,26500.0
1593,40000.0
1594,57200.0
1595,44900.0
1596,50800.0
1597,35800.0
1598,32100.0
1599,17300.0
1600,4400.0
1601,1200.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,700.0
1615,7000.0
1616,16900.0
1617,23300.0
1618,38600.0
1619,78300.0
1620,55400.0
1621,62800.0
1622,39700.0
1623,33200.0
1624,16300.0
1625,2600.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,1200.0
1639,18300.0
1640,31600.0
1641,45100.0
1642,39400.0
1643,49600.0
1644,50800.0
1645,51900.0
1646,26200.0
1647,19900.0
1648,7500.0
1649,1700.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,900.0
1663,4800.0
1664,11700.0
1665,17300.0
1666,34200.0
1667,15900.0
1668,15000.0
1669,18600.0
1670,8000.0
1671,10200.0
1672,7900.0
1673,1400.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,2700.0
1687,15900.0
1688,22400.0
1689,36500.0
1690,51400.0
1691,72400.0
1692,78900.0
1693,69100.0
1694,56500.0
1695,24300.0
1696,23100.0
1697,3500.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,2400.0
1711,14500.0
1712,32900.0
1713,54800.0
1714,71000.0
1715,77700.0
1716,77400.0
1717,70400.0
1718,59800.0
1719,43800.0
1720,24300.0
1721,6000.0
1722,100.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,7200.0
1735,30800.0
1736,40800.0
1737,48400.0
1738,65400.0
1739,50300.0
1740,64200.0
1741,62000.0
1742,55400.0
1743,41400.0
1744,13400.0
1745,3200.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,600.0
1759,2100.0
1760,10100.0
1761,8600.0
1762,10100.0
1763,30000.0
1764,47600.0
1765,43300.0
1766,13700.0
1767,42700.0
1768,18600.0
1769,6700.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,100.0
1782,4800.0
1783,20600.0
1784,41800.0
1785,51600.0
1786,65600.0
1787,64000.0
1788,65900.0
1789,42800.0
1790,28900.0
1791,25600.0
1792,15300.0
1793,3000.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,1400.0
1807,5900.0
1808,14000.0
1809,29200.0
1810,48500.0
1811,35200.0
1812,26800.0
1813,18800.0
1814,19800.0
1815,16500.0
1816,15900.0
1817,7600.0
1818,100.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,7200.0
1831,26200.0
1832,35600.0
1833,45900.0
1834,51700.0
1835,50400.0
1836,65600.0
1837,39200.0
1838,42600.0
1839,27000.0
1840,13700.0
1841,4300.0
1842,100.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,100.0
1854,3600.0
1855,22100.0
1856,38900.0
1857,50000.0
1858,49700.0
1859,24900.0
1860,42000.0
1861,48900.0
1862,25300.0
1863,30000.0
1864,7400.0
1865,2000.0
1866,100.0
